variant,partition,num_samples,temporal_f1,point_at_50,point_at_100,point_at_200,joint_at_50,joint_at_100,joint_at_200
full_baseline,scene1,800,0.6793157076,0.1206842924,0.3079315708,0.4982892691,0.0951788491,0.2370139969,0.3906687403
full_baseline,scene2,800,0.7549427680,0.0811654527,0.2247658689,0.4084287201,0.0764828304,0.2075962539,0.3735691988
full_baseline,scene3,800,0.7691039032,0.1121495327,0.2468389225,0.4337548103,0.0962067070,0.2127542606,0.3760307861
full_baseline,scene4_room1,200,0.7270029674,0.0771513353,0.2195845697,0.4183976261,0.0593471810,0.1780415430,0.3412462908
full_baseline,scene4_room2,200,0.6901408451,0.0901408451,0.2225352113,0.4535211268,0.0591549296,0.1718309859,0.3605633803
full_baseline,scene4_room3,200,0.7003994674,0.1944074567,0.3914780293,0.5752330226,0.1517976032,0.3115845539,0.4607190413
full_baseline,scene4_room4,200,0.7298335467,0.1434058899,0.2791293214,0.4891165173,0.1152368758,0.2253521127,0.4020486556
full_baseline,scene5,800,0.7398568019,0.0435560859,0.1849642005,0.3687350835,0.0363961814,0.1408114558,0.2869928401
full_panels_no_crop,scene1,800,0.6861042184,0.1408188586,0.3194789082,0.4900744417,0.1079404467,0.2475186104,0.3753101737
full_panels_no_crop,scene2,800,0.7259490380,0.0447217889,0.1497659906,0.3010920437,0.0405616225,0.1336453458,0.2584503380
full_panels_no_crop,scene3,800,0.7175530449,0.1107743180,0.2380821163,0.4023146872,0.0859740975,0.1840727473,0.3207495178
full_panels_no_crop,scene4_room1,200,0.6765578635,0.0474777448,0.1810089021,0.3501483680,0.0326409496,0.1335311573,0.2848664688
full_panels_no_crop,scene4_room2,200,0.6573033708,0.0870786517,0.2050561798,0.4269662921,0.0617977528,0.1601123596,0.3258426966
full_panels_no_crop,scene4_room3,200,0.7272727273,0.1925133690,0.4037433155,0.5909090909,0.1443850267,0.3101604278,0.4679144385
full_panels_no_crop,scene4_room4,200,0.6563706564,0.1055341055,0.2368082368,0.4350064350,0.0849420849,0.1750321750,0.3320463320
full_panels_no_crop,scene5,800,0.6875186178,0.0422996723,0.1697944593,0.3389931486,0.0309800417,0.1286863271,0.2537980340
instruction_only_prompt,scene1,800,0.6355685131,0.1133786848,0.2837706511,0.4554583738,0.0868156787,0.2125040492,0.3505021056
instruction_only_prompt,scene2,800,0.6978335234,0.0724059293,0.1949828962,0.3591790194,0.0667046750,0.1773090080,0.3261117446
instruction_only_prompt,scene3,800,0.6977886978,0.1216216216,0.2506142506,0.4176904177,0.1038083538,0.2106879607,0.3599508600
instruction_only_prompt,scene4_room1,200,0.6343490305,0.0581717452,0.1828254848,0.3628808864,0.0415512465,0.1385041551,0.2936288089
instruction_only_prompt,scene4_room2,200,0.6192468619,0.0836820084,0.2092050209,0.3877266388,0.0613668061,0.1645746165,0.2984658298
instruction_only_prompt,scene4_room3,200,0.6002928258,0.1669106881,0.3572474378,0.4831625183,0.1288433382,0.2840409956,0.3865300146
instruction_only_prompt,scene4_room4,200,0.6301369863,0.1315068493,0.2438356164,0.4383561644,0.0931506849,0.1835616438,0.3397260274
instruction_only_prompt,scene5,800,0.6126519165,0.0342785915,0.1620442505,0.3141165472,0.0255531318,0.1096914927,0.2274851979
no_gaze,scene1,800,0.6552901024,0.0905988210,0.2327024511,0.4201054918,0.0626745268,0.1600992864,0.3022029165
no_gaze,scene2,800,0.7169614984,0.0535900104,0.1508844953,0.2996878252,0.0468262227,0.1295525494,0.2544224766
no_gaze,scene3,800,0.7081840727,0.0969964177,0.2287131441,0.3973546432,0.0804629374,0.1807660513,0.3141361257
no_gaze,scene4_room1,200,0.6637037037,0.0740740741,0.1896296296,0.3348148148,0.0414814815,0.1392592593,0.2607407407
no_gaze,scene4_room2,200,0.6882022472,0.0758426966,0.1713483146,0.4073033708,0.0505617978,0.1320224719,0.3117977528
no_gaze,scene4_room3,200,0.6916890080,0.1849865952,0.3646112601,0.5335120643,0.1447721180,0.2761394102,0.4209115282
no_gaze,scene4_room4,200,0.6683804627,0.0874035990,0.1979434447,0.3881748072,0.0694087404,0.1388174807,0.2982005141
no_gaze,scene5,800,0.6760059613,0.0470938897,0.1794336811,0.3505216095,0.0399403875,0.1365126677,0.2622950820
no_gaze_text_prior,scene1,800,0.6799007444,0.1389578164,0.3064516129,0.4789081886,0.1060794045,0.2406947891,0.3678660050
no_gaze_text_prior,scene2,800,0.7126496616,0.0447683498,0.1389901093,0.2977615825,0.0421655388,0.1254554919,0.2602811036
no_gaze_text_prior,scene3,800,0.7036423841,0.1043046358,0.2350993377,0.4056291391,0.0849889625,0.1876379691,0.3239514349
no_gaze_text_prior,scene4_room1,200,0.6567607727,0.0564635958,0.1575037147,0.3328380386,0.0356612184,0.1188707281,0.2674591382
no_gaze_text_prior,scene4_room2,200,0.6619915849,0.0953716690,0.2272089762,0.4516129032,0.0673211781,0.1598877980,0.3366058906
no_gaze_text_prior,scene4_room3,200,0.7043010753,0.2069892473,0.4139784946,0.5967741935,0.1586021505,0.3198924731,0.4731182796
no_gaze_text_prior,scene4_room4,200,0.6382428941,0.1214470284,0.2273901809,0.4341085271,0.0852713178,0.1602067183,0.3281653747
no_gaze_text_prior,scene5,800,0.6781986281,0.0405606919,0.1789442290,0.3489412466,0.0298240382,0.1282433642,0.2576796898
