object_name	x_world	y_world	z_world	aliases
chair1	-0.951	-1.258	2.015	""
chair2	0.238	-1.128	6.095	""
chair3	0.018	-1.314	7.808	""
chair4	2.571	-1.284	6.334	""
chair5	3.497	-1.219	2.38	""
chair6	3.497	-1.219	0.231	""
chair7	5.99	-1.18	6.59	""
chair8	5.9	-1.22	8.2	""
desk1	-1.04	-1.16	2.983	""
desk2	0.729	-0.992	5.47	""
desk3	2.028	-0.856	5.976	""
desk4	4.275	-0.908	2.32	""
desk5	5.657	-0.958	2.515	""
desk6	6.914	-0.828	7.119	""
desk7	8.139	-0.89	6.121	""
desk8	8.562	-0.896	2.253	""
laptop1	-0.067	-0.98	2.987	Laptop3, laptop 1
laptop2	6.905	-0.868	7.203	""
PC1	-1.687	-0.822	2.645	""
PC2	1.08	-0.832	6.021	""
PC3	1.75	-0.829	5.973	""
PC4	4.562	-0.824	2.658	""
PC5	4.777	-0.813	0.443	""
PC6	7.173	-0.802	6.409	""
lamp1	-1.421	-0.884	2.867	""
lamp2	1.061	-0.845	7.19	""
lamp3	4.644	-0.832	2.26	""
person1	-1.38	-1.059	7.181	""
person2	3.878	-0.781	8.042	""
person3	10.628	-0.912	6.584	""
file1	-0.494	-0.686	2.923	""
file2	1.183	-0.686	5.29	""
file3	1.282	-1.396	4.766	""
file4	4.855	-0.723	1.317	""
file5	7.184	-0.781	5.959	""
pointA	-1.063	-1.58	4.77	""
pointB	8.648	-0.781	0.658	""
pointC	4.291	-0.901	-0.076	""
door1	11.08	-0.252	3.98	""
printer	1.64	-0.75	4.79	Printer1
drawer1	0.097	-1.2	2.694	Drawer1
drawer2	0.638	-1.227	5.241	Drawer2
