Number,ID,Complexity,Type,Instruction,Referents,,object_name,x,y,z,Referents_Original,Referents_Cleaned,Referents_AnchorMapped,Referents_Changed,Referents_Unparsed
1,Basic-001,basic,direct,Arrange that chair.,Chair2,,chair1,-0.951,-1.258,2.015,Chair2,Chair2,chair2,false,
2,Basic-002,basic,direct,Move that file to here.,"File5, PointA",,chair2,0.238,-1.128,6.095,"File5, PointA","File5, PointA","file5, pointA",false,
3,Basic-003,basic,direct,Slide that chair in front of the door.,"Chair2, Door1",,chair3,0.018,-1.314,7.808,"Chair2, Door1","Chair2, Door1","chair2, door1",false,
4,Basic-004,basic,indirect,Ask that colleague to check that desk for clutter.,"Desk7, Person2",,chair4,2.571,-1.284,6.334,"Desk7, Person2","Desk7, Person2","desk7, person2",false,
5,Basic-005,basic,direct,Tell the person by the desk to push that file over there.,"Person2, File4, Desk6",,chair5,3.497,-1.219,2.38,"Person2,File4, Desk6","Person2, File4, Desk6","person2, file4, desk6",true,
6,Basic-006,basic,direct,Open that door.,Door1,,chair6,3.497,-1.219,0.231,Door1,Door1,door1,false,
7,Basic-007,basic,direct,Ask that colleague to adjust that laptop.,"Laptop1, Person1",,chair7,5.99,-1.18,6.59,"Laptop1, Person1","Laptop1, Person1","laptop1, person1",false,
8,Basic-008,basic,direct,Slide that chair to there.,"Chair4, Desk5",,chair8,5.9,-1.22,8.2,"Chair4, Desk5","Chair4, Desk5","chair4, desk5",false,
9,Basic-009,basic,direct,Carry that chair near there.,"Chair2, Desk8",,desk1,-1.04,-1.16,2.983,"Chair2, Desk8","Chair2, Desk8","chair2, desk8",false,
10,Basic-010,basic,direct,Tidy that door.,Door1,,desk2,0.729,-0.992,5.47,Door1,Door1,door1,false,
11,Basic-011,basic,direct,Tell that colleague to place that chair near there.,"Chair4, Desk1, Person3",,desk3,2.028,-0.856,5.976,"Chair4, Desk1, Person3","Chair4, Desk1, Person3","chair4, desk1, person3",false,
12,Basic-012,basic,direct,Carry that chair next to the desk.,"Chair5, Desk7",,desk4,4.275,-0.908,2.32,"Chair5, Desk7","Chair5, Desk7","chair5, desk7",false,
13,Basic-013,basic,direct,Place that laptop next to the spot.,"Laptop1, PointC",,desk5,5.657,-0.958,2.515,"Laptop1, PointC","Laptop1, PointC","laptop1, pointC",false,
14,Basic-014,basic,direct,Request the person by the desk to arrange that lamp.,"Lamp2, Person1",,desk6,6914,-0.828,7.119,"Lamp2, Person1","Lamp2, Person1","lamp2, person1",false,
15,Basic-015,basic,direct,Review that lamp for brightness.,Lamp2,,desk7,8.139,-0.89,6.121,Lamp2,Lamp2,lamp2,false,
16,Basic-016,basic,direct,Push that chair next to the door.,"Chair7, Door1",,desk8,8.562,-0.896,2.253,"Chair7, Door1","Chair7, Door1","chair7, door1",false,
17,Basic-017,basic,direct,Tidy that lamp.,Lamp3,,laptop1,-0.067,-0.98,2.987,Lamp3,Lamp3,lamp3,false,
18,Basic-018,basic,direct,Tell this colleague to arrange that file.,"File5, Person1",,laptop2,6.905,-0.868,7.203,"File5, Person1","File5, Person1","file5, person1",false,
19,Basic-019,basic,direct,Tidy that chair.,Chair5,,PC1,-1.687,-0.822,2.645,Chair5,Chair5,chair5,false,
20,Basic-020,basic,direct,Arrange that lamp gently.,Lamp2,,PC2,1.08,-0.832,6.021,Lamp2,Lamp2,lamp2,false,
21,Basic-021,basic,indirect,Ask this colleague to slide that file over there.,"File3, Door1, Person1",,PC3,1.75,-0.829,5.973,"File3, Door1, Person1","File3, Door1, Person1","file3, door1, person1",false,
22,Basic-022,basic,direct,Tidy that chair slightly.,Chair7,,PC4,4.562,-0.824,2.658,Chair7,Chair7,chair7,false,
23,Basic-023,basic,indirect,Ask that colleague to place that chair near there.,"Chair1, Desk2, Person1",,PC5,4.777,-813,0.443,"Chair1, Desk2, Person1","Chair1, Desk2, Person1","chair1, desk2, person1",false,
24,Basic-024,basic,direct,Reposition that chair near there.,"Chair5, Desk2",,PC6,7.173,-0.802,6.409,"Chair5, Desk2","Chair5, Desk2","chair5, desk2",false,
25,Basic-025,basic,direct,Inspect that desk for clutter.,Desk6,,lamp1,-1.421,-0.884,2.867,Desk6,Desk6,desk6,false,
26,Basic-026,basic,direct,Ask the assistant nearby to review that file for its label.,"File1, Person1",,lamp2,1.061,-0.845,7.19,"File1, Person1","File1, Person1","file1, person1",false,
27,Basic-027,basic,direct,Tidy that chair.,Chair3,,lamp3,4.644,-0.832,2.26,Chair3,Chair3,chair3,false,
28,Basic-028,basic,direct,Slide that file to there.,"File4, Printer1",,person1,-1.38,-1.059,7.181,"File4, Printer1","File4, Printer1","file4, printer",false,
29,Basic-029,basic,indirect,Request that colleague to move that laptop near there.,"Laptop2, Desk5, Person2",,person2,3.878,-0.781,8.042,"Laptop2, Desk5, Person2","Laptop2, Desk5, Person2","laptop2, desk5, person2",false,
30,Basic-030,basic,indirect,Ask that colleague to arrange that chair.,"Chair7, Person3",,person3,10.628,-0.912,6.584,"Chair7, Person3","Chair7, Person3","chair7, person3",false,
