model_or_baseline,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,mean_cardinality_error,duplicate_nearest_anchor_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_matched_margin_error,median_matched_margin_error,mean_matched_euclidean_error,median_matched_euclidean_error,mean_scene_normalized_error,median_scene_normalized_error,margin_undefined_gt_count
qwen3vl30b_v9,single_target,930,930,0,1.0,0.32205128205128203,0.6752688172043011,0.4361111111111111,0.002150537634408602,1.6978494623655913,0.22279792746113988,0.10183299389002036,0.2240325865580448,0.365434972359616,2.6189488046593765,1.2992133454354615,4.370336094581409,2.0965436072390764,0.09131280456077404,0.043431398784616895,2
qwen3vl30b_v9,multi_target,3070,3070,0,1.0,0.45352541903310706,0.4123425692695214,0.4319546144204763,0.023452768729641693,0.6970684039087948,0.14365361803084223,0.11584619152583885,0.25581680137154056,0.42003428851334806,3.799589423606121,2.1161811040498617,8.084143532146072,3.05942384572668,0.1654815811888714,0.08331409283264236,38
qwen3vl8b,single_target,930,930,0,1.0,0.317388857625211,0.6064516129032258,0.416697451052826,0.025806451612903226,1.4795698924731182,0.22940156114483956,0.10018552875695734,0.21459492888064316,0.34632034632034636,3.191461695944477,1.509056442370495,5.250287948031219,2.466855910754278,0.11476070570808747,0.048865947033210115,2
qwen3vl8b,multi_target,3070,3070,0,1.0,0.4542948345908299,0.3943324937027708,0.42219525350593307,0.021498371335504887,0.7648208469055374,0.14681851943550384,0.1146433041301627,0.24993742177722147,0.4113892365456821,3.7391263042828204,2.1225907404262205,8.261871851601715,3.116632691949153,0.16052456851125818,0.0836913572311585,38
internvl3_38b,single_target,930,930,0,1.0,0.3635272945410918,0.6516129032258065,0.46669233731228343,0.001075268817204301,0.989247311827957,0.09891891891891892,0.11375089992800577,0.26205903527717783,0.43988480921526285,2.6950143665346267,1.389723299319255,4.621351045180164,2.158153151059997,0.09450013532533351,0.047642010515065635,2
internvl3_38b,multi_target,3070,3070,0,1.0,0.45425756509500353,0.3251889168765743,0.37903699354081033,0.06221498371335505,0.5993485342019544,0.06850213044903311,0.09797200799771494,0.2247929163096258,0.3811768066266781,3.8849116561311523,2.3809541537485694,8.874037653912707,3.126841354269853,0.17168164087118717,0.09401156645851352,38
gaze_copy,single_target,930,930,0,1.0,0.3268523384130321,0.6688172043010753,0.4391104835863043,0.06881720430107527,1.421505376344086,0.1549733570159858,0.10251572327044026,0.2358490566037736,0.3911949685534591,2.640466989830989,1.3258292519083144,4.354116976198059,2.0965436072390764,0.09215730375607552,0.04599616327916213,2
gaze_copy,multi_target,3070,3070,0,1.0,0.45387505217754276,0.41083123425692697,0.43128181397501164,0.035830618892508145,0.6820846905537459,0.10542693552402291,0.11822289156626507,0.2584086345381526,0.4249497991967871,3.7299182404924576,2.068097728515005,8.037919040446697,3.06527673584174,0.15987886794066716,0.08135509746393971,38
hand_copy,single_target,930,930,0,1.0,0.0434235368156073,0.07419354838709677,0.05478364430329496,0.002150537634408602,1.5365591397849463,0.3264094955489614,0.0,0.0024338302403407366,0.017036811682385154,25.780885510686847,8.515850266024316,23.673419149788224,17.34019685890108,0.9459676356549482,0.3458097605582369,2
hand_copy,multi_target,3070,3070,0,1.0,0.11796957905907322,0.08400503778337531,0.09813152861556569,0.0003257328990228013,0.6947882736156352,0.29929359276242407,0.0013774967127919353,0.007764072381190907,0.03506355268924926,16.88360234804116,7.704336543639449,23.469433308743884,18.131511024711898,0.8328006410686276,0.361545054254206,38
gaze_hand_fusion,single_target,930,930,0,1.0,0.26632522407170295,0.6709677419354839,0.381301558203483,0.0,1.9731182795698925,0.15262206148282098,0.08827511508258867,0.20362848632548064,0.3379366368805849,2.6130527632243656,1.317395080223875,4.3426975898328415,2.0925648608182454,0.09155464317909233,0.045889489356263205,2
gaze_hand_fusion,multi_target,3070,3070,0,1.0,0.40606282850507275,0.4183879093198992,0.4121332423546927,0.011726384364820847,0.719543973941368,0.10638995084653195,0.10810810810810811,0.23591487365890837,0.3928006097203494,4.954832217003997,2.33247786267079,8.470405600499761,3.3125868484074417,0.24255141066582955,0.09284408509510796,38
