model_or_baseline,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,mean_cardinality_error,duplicate_nearest_anchor_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_matched_margin_error,median_matched_margin_error,mean_matched_euclidean_error,median_matched_euclidean_error,mean_scene_normalized_error,median_scene_normalized_error,margin_undefined_gt_count
qwen3vl30b_v9,scene1,800,800,0,1.0,0.43293347873500543,0.4783132530120482,0.45449341728677733,0.01125,1.0775,0.22550675675675674,0.09731876861966236,0.24478649453823237,0.3957298907646475,3.549279592394902,1.9705655949073009,19.233868046819598,8.525999635355516,0.15935398154870975,0.07311832381333935,0
qwen3vl30b_v9,scene2,800,800,0,1.0,0.27839408346539884,0.2532436328688131,0.26522395571212887,0.00625,0.94875,0.06101190476190476,0.010739565535757872,0.047351720771296076,0.16597510373443985,7.576552776070405,4.240547241137683,2.844753575748419,1.720041033877872,0.20671229793523163,0.13149115267559358,0
qwen3vl30b_v9,scene3,800,800,0,1.0,0.47006432459178626,0.5091103965702036,0.4888088500128634,0.01875,0.9375,0.0805277525022748,0.1235236220472441,0.3336614173228346,0.5541338582677166,1.9734998830612007,1.2793351527554613,8.391024575092901,3.634171540250712,0.12162164426045416,0.057779960455328724,0
qwen3vl30b_v9,scene4_room1,200,200,0,1.0,0.5578406169665809,0.5371287128712872,0.5472887767969736,0.04,0.815,0.20773930753564154,0.1787709497206704,0.37988826815642457,0.5586592178770949,1.9813528846553377,1.1581120119944739,1.0660840655782295,0.5006998422621078,0.1493388489417707,0.07492793665018077,0
qwen3vl30b_v9,scene4_room2,200,200,0,1.0,0.3200992555831266,0.3403693931398417,0.329923273657289,0.025,0.84,0.1891348088531187,0.02142857142857143,0.09761904761904762,0.2595238095238095,3.5984274204789357,2.487380860777121,2.9974293309378885,0.7779640149383307,0.34914279405607185,0.10944044519903239,36
qwen3vl30b_v9,scene4_room3,200,200,0,1.0,0.6050228310502284,0.6955380577427821,0.6471306471306472,0.04,1.025,0.25,0.16373056994818655,0.3626943005181347,0.5367875647668393,2.26856863558824,1.0798318232476856,0.8503194777330048,0.42346901238466433,0.13591099087211955,0.06641943561340463,0
qwen3vl30b_v9,scene4_room4,200,200,0,1.0,0.43523316062176165,0.4221105527638191,0.42857142857142855,0.015,0.705,0.15904139433551198,0.07033997655334116,0.26025791324736225,0.4337631887456037,3.4464072520728535,1.8267413410407818,1.3033213040644238,0.5438392518800652,0.16240352159796764,0.07016155333294706,4
qwen3vl30b_v9,scene5,800,800,0,1.0,0.47202216066481995,0.5008818342151675,0.48602395892755273,0.02625,0.83875,0.2239896818572657,0.22547802334243855,0.35212316861186993,0.4926744474795133,2.2862117575094842,1.5698786251307102,6.007716561974534,3.180796502838607,0.10458516730824961,0.054612177194276725,0
qwen3vl8b,scene1,800,800,0,1.0,0.4284903518728717,0.45481927710843373,0.44126241963763885,0.0125,1.0125,0.22583479789103691,0.0940040650406504,0.23475609756097562,0.38516260162601623,3.630382293018425,2.063604251282172,19.73105703790158,9.415995538859681,0.16289122382976662,0.07989318981914025,0
qwen3vl8b,scene2,800,800,0,1.0,0.2838817624093698,0.2445939452186449,0.2627774909654105,0.01125,0.995,0.06272869837950862,0.010015022533800702,0.04606910365548322,0.16374561842764146,7.38053183983534,4.163016636138219,2.79934870549004,1.703949859428103,0.20042774729487142,0.1291232988059784,0
