variant,partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_scene_normalized_error,mean_matched_euclidean_error,delta_anchor_f1_vs_full,delta_margin_f1_at_1_vs_full
full,overall,4000,4000,0,1.0,0.42556440178863564,0.4399098083427283,0.4326182160873663,0.0185,0.11340988416207193,0.25029085942637463,0.41054175729677783,0.15690768904914107,7.65404078635049,0.0,0.0
full,single_target,930,930,0,1.0,0.32205128205128203,0.6752688172043011,0.4361111111111111,0.002150537634408602,0.10183299389002036,0.2240325865580448,0.365434972359616,0.09131280456077404,4.370336094581409,0.0,0.0
full,multi_target,3070,3070,0,1.0,0.45352541903310706,0.4123425692695214,0.4319546144204763,0.023452768729641693,0.11584619152583885,0.25581680137154056,0.42003428851334806,0.1654815811888714,8.084143532146072,0.0,0.0
full,scene:scene1,800,800,0,1.0,0.43293347873500543,0.4783132530120482,0.45449341728677733,0.01125,0.09731876861966236,0.24478649453823237,0.3957298907646475,0.15935398154870975,19.233868046819598,0.0,0.0
full,scene:scene2,800,800,0,1.0,0.27839408346539884,0.2532436328688131,0.26522395571212887,0.00625,0.010739565535757872,0.047351720771296076,0.16597510373443985,0.20671229793523163,2.844753575748419,0.0,0.0
full,scene:scene3,800,800,0,1.0,0.47006432459178626,0.5091103965702036,0.4888088500128634,0.01875,0.1235236220472441,0.3336614173228346,0.5541338582677166,0.12162164426045416,8.391024575092901,0.0,0.0
full,scene:scene4_room1,200,200,0,1.0,0.5578406169665809,0.5371287128712872,0.5472887767969736,0.04,0.1787709497206704,0.37988826815642457,0.5586592178770949,0.1493388489417707,1.0660840655782295,0.0,0.0
full,scene:scene4_room2,200,200,0,1.0,0.3200992555831266,0.3403693931398417,0.329923273657289,0.025,0.02142857142857143,0.09761904761904762,0.2595238095238095,0.34914279405607185,2.9974293309378885,0.0,0.0
full,scene:scene4_room3,200,200,0,1.0,0.6050228310502284,0.6955380577427821,0.6471306471306472,0.04,0.16373056994818655,0.3626943005181347,0.5367875647668393,0.13591099087211955,0.8503194777330048,0.0,0.0
full,scene:scene4_room4,200,200,0,1.0,0.43523316062176165,0.4221105527638191,0.42857142857142855,0.015,0.07033997655334116,0.26025791324736225,0.4337631887456037,0.16240352159796764,1.3033213040644238,0.0,0.0
full,scene:scene5,800,800,0,1.0,0.47202216066481995,0.5008818342151675,0.48602395892755273,0.02625,0.22547802334243855,0.35212316861186993,0.4926744474795133,0.10458516730824961,6.007716561974534,0.0,0.0
gaze_copy_reference,overall,4000,4000,0,1.0,0.42728272827282726,0.437880496054115,0.4325167037861915,0.0435,0.1156099602427286,0.2546557857292321,0.4193345888261143,0.15187619263041682,7.6020439523907575,-0.00010151230117477761,0.0043649263028574525
gaze_copy_reference,single_target,930,930,0,1.0,0.3268523384130321,0.6688172043010753,0.4391104835863043,0.06881720430107527,0.10251572327044026,0.2358490566037736,0.3911949685534591,0.09215730375607552,4.354116976198059,0.0029993724751931627,0.011816470045728777
gaze_copy_reference,multi_target,3070,3070,0,1.0,0.45387505217754276,0.41083123425692697,0.43128181397501164,0.035830618892508145,0.11822289156626507,0.2584086345381526,0.4249497991967871,0.15987886794066716,8.037919040446697,-0.0006728004454646386,0.0025918331666120453
gaze_copy_reference,scene:scene1,800,800,0,1.0,0.43787962451684154,0.47771084337349395,0.4569288389513108,0.0125,0.09781790820165538,0.2478053674441936,0.400300978179082,0.15805701013252768,19.090928948021453,0.002435421664533477,0.0030188729059612285
gaze_copy_reference,scene:scene2,800,800,0,1.0,0.2751183587585481,0.2513214800576646,0.2626820693119035,0.0075,0.01080284802356985,0.04763073901301253,0.16498895163270313,0.20327602635978803,2.805825666901014,-0.002541886400225346,0.00027901824171645134
gaze_copy_reference,scene:scene3,800,800,0,1.0,0.4817773339990015,0.5171489817792069,0.49883690876195397,0.02375,0.13008937437934456,0.3440913604766634,0.5670307845084408,0.11680107887347044,8.07178110166383,0.010028058749090574,0.01042994315382878
gaze_copy_reference,scene:scene4_room1,200,200,0,1.0,0.5581395348837209,0.5346534653465347,0.5461441213653603,0.175,0.18679950186799502,0.4159402241594022,0.6176836861768368,0.13007345560550482,0.9324305075710764,-0.0011446554316133506,0.036051956002977614
gaze_copy_reference,scene:scene4_room2,200,200,0,1.0,0.3229166666666667,0.32717678100263853,0.32503276539973786,0.105,0.02442333785617368,0.10040705563093623,0.2903663500678426,0.30615262117074177,3.00716140720199,-0.004890508257551163,0.0027880080118886097
gaze_copy_reference,scene:scene4_room3,200,200,0,1.0,0.5914489311163895,0.6535433070866141,0.6209476309226932,0.125,0.16346153846153846,0.3317307692307693,0.5072115384615384,0.15076533300938644,0.951583791043997,-0.026183016207953935,-0.030963531287365453
gaze_copy_reference,scene:scene4_room4,200,200,0,1.0,0.42933333333333334,0.4045226130653266,0.41655886157826655,0.105,0.051347881899871634,0.25930680359435176,0.44672657252888315,0.161929654376611,1.3063450907378118,-0.012012566993162,-0.0009511096530104846
gaze_copy_reference,scene:scene5,800,800,0,1.0,0.4717920353982301,0.5014697236919459,0.4861783984041037,0.04625,0.23420170234717566,0.3647149858137735,0.5117358782563839,0.10150694244227312,5.834867250411804,0.00015443947655097157,0.012591817201903555
no_visual,overall,4000,4000,0,1.0,0.4261351292635238,0.44227733934611047,0.4340562071254702,0.018,0.11440399858635837,0.25183016105417283,0.41197556419447673,0.156024401844369,7.578881037316844,0.0014379910381039362,0.0015393016277981952
no_visual,single_target,930,930,0,1.0,0.3225806451612903,0.6774193548387096,0.437044745057232,0.001075268817204301,0.10287707061900611,0.22493461203138623,0.36617262423714037,0.09088321980835276,4.342941589161256,0.0009336339461208931,0.0009020254733414224
no_visual,multi_target,3070,3070,0,1.0,0.45401902660967874,0.414735516372796,0.4334891068255117,0.023127035830618894,0.11682756935109373,0.25748502994011974,0.4216057680557253,0.16452226960892155,8.00189157512335,0.001534492405035448,0.0016682285685791776
no_visual,scene:scene1,800,800,0,1.0,0.4337152209492635,0.4789156626506024,0.45519610649871173,0.01125,0.09734293518748448,0.24534392848274147,0.3963248075490439,0.15889677607080924,19.180275777563242,0.000702689211934393,0.0005574339445091059
