experiment,model_name,variant,partition,total_samples,valid_output_count,invalid_output_count,mapped_count,hit_all,hit_mapped,exact,macro_set_f1,tp,fp,fn,micro_precision,micro_recall,micro_f1
experiment1,Qwen3-VL-30B-A3B-Instruct,full,overall,4000,3970,30,4000,0.77975,0.77975,0.32875,0.5656979978354979,4585,3531,4285,0.564933464760966,0.5169109357384442,0.5398563522901212
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene1,800,797,3,800,0.76875,0.76875,0.355,0.5838226911976911,870,513,790,0.6290672451193059,0.5240963855421686,0.5718041406506738
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene2,800,787,13,800,0.55,0.55,0.1025,0.30753174603174604,546,1009,1535,0.35112540192926045,0.2623738587217684,0.30033003300330036
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene3,800,795,5,800,0.77375,0.77375,0.25125,0.5209811507936508,842,654,1024,0.5628342245989305,0.4512325830653805,0.5008923259964306
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room1,200,199,1,200,0.96,0.96,0.625,0.8627857142857143,365,63,39,0.852803738317757,0.9034653465346535,0.8774038461538461
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room2,200,198,2,200,0.99,0.99,0.87,0.9482619047619048,353,17,26,0.9540540540540541,0.9313984168865436,0.9425901201602137
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room3,200,199,1,200,0.98,0.98,0.76,0.912,335,13,46,0.9626436781609196,0.8792650918635171,0.9190672153635115
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room4,200,199,1,200,0.98,0.98,0.67,0.869984126984127,331,51,67,0.8664921465968587,0.8316582914572864,0.8487179487179487
experiment1,Qwen3-VL-30B-A3B-Instruct,full,scene:scene5,800,796,4,800,0.82875,0.82875,0.20375,0.5178964646464647,943,1211,758,0.43779015784586817,0.5543797766019988,0.48923476005188066
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,overall,4000,3969,31,4000,0.779,0.779,0.32675,0.5651851014181897,4524,3362,4346,0.5736748668526502,0.5100338218714768,0.5399856767724993
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene1,800,796,4,800,0.755,0.755,0.35375,0.574688492063492,850,521,810,0.6199854121079504,0.5120481927710844,0.560870999670076
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene2,800,787,13,800,0.5775,0.5775,0.115,0.3337281746031746,586,956,1495,0.38002594033722437,0.28159538683325325,0.32348882141871377
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene3,800,795,5,800,0.77125,0.77125,0.2475,0.5198392857142857,827,606,1039,0.5771109560362875,0.44319399785637725,0.5013640497120339
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene4_room1,200,199,1,200,0.965,0.965,0.645,0.869468253968254,361,56,43,0.8657074340527577,0.8935643564356436,0.8794153471376369
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene4_room2,200,198,2,200,0.995,0.995,0.86,0.9531666666666666,354,12,25,0.9672131147540983,0.9340369393139841,0.9503355704697986
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene4_room3,200,200,0,200,0.995,0.995,0.715,0.9046666666666667,328,15,53,0.956268221574344,0.8608923884514436,0.9060773480662982
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene4_room4,200,199,1,200,0.97,0.97,0.645,0.8497460317460317,316,50,82,0.8633879781420765,0.7939698492462312,0.8272251308900522
experiment1,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene5,800,795,5,800,0.81,0.81,0.20125,0.5034076499480912,902,1146,799,0.4404296875,0.5302763080540859,0.4811949853294212
