experiment,model_name,variant,partition,total_samples,valid_output_count,invalid_output_count,gt_referents,predictions,temporal_tp,temporal_fp,temporal_fn,temporal_precision,temporal_recall,temporal_f1,point_50_tp,point_50_fp,point_50_fn,point_50_precision,point_50_recall,point_50_f1,point_100_tp,point_100_fp,point_100_fn,point_100_precision,point_100_recall,point_100_f1,point_150_tp,point_150_fp,point_150_fn,point_150_precision,point_150_recall,point_150_f1,point_200_tp,point_200_fp,point_200_fn,point_200_precision,point_200_recall,point_200_f1,joint_50_tp,joint_50_fp,joint_50_fn,joint_50_precision,joint_50_recall,joint_50_f1,joint_100_tp,joint_100_fp,joint_100_fn,joint_100_precision,joint_100_recall,joint_100_f1,joint_150_tp,joint_150_fp,joint_150_fn,joint_150_precision,joint_150_recall,joint_150_f1,joint_200_tp,joint_200_fp,joint_200_fn,joint_200_precision,joint_200_recall,joint_200_f1
experiment2,Qwen3-VL-30B-A3B-Instruct,full,overall,4000,3998,2,22940,8695,6324,2371,2195,0.7273145485911443,0.7423406503110693,0.7347507842453816,844,7851,7675,0.09706728004600346,0.09907266111045897,0.0980597188335076,2149,6546,6370,0.24715353651523864,0.2522596548890715,0.24968049262228417,3079,5616,5440,0.3541115583668775,0.3614273975818758,0.35773207854072275,3786,4909,4733,0.43542265669925245,0.4444183589623195,0.43987452073893346,705,7990,7814,0.08108108108108109,0.0827561920413194,0.08191007319623562,1779,6916,6740,0.20460034502587693,0.20882732715107408,0.20669222725688394,2549,6146,5970,0.29315698677400803,0.29921352271393353,0.29615429301731144,3162,5533,5357,0.36365727429557215,0.37117032515553466,0.3673753921226908
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene1,800,800,0,4164,1651,1093,558,474,0.6620230163537251,0.6975111678366305,0.6793039154754507,194,1457,1373,0.1175045427013931,0.12380344607530312,0.12057178371659415,495,1156,1072,0.29981829194427617,0.31589023611997447,0.3076444996892479,659,992,908,0.3991520290732889,0.4205488194001276,0.40957116221255435,802,849,765,0.48576620230163536,0.5118059987236758,0.49844623990055936,153,1498,1414,0.09267110841913992,0.09763880025526483,0.09509011808576756,381,1270,1186,0.23076923076923078,0.2431397574984046,0.23679303915475453,516,1135,1051,0.3125378558449425,0.32929164007657946,0.32069608452454945,629,1022,938,0.3809812235009085,0.4014039566049777,0.3909260410192666
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene2,800,800,0,5245,1961,1514,447,521,0.7720550739418663,0.743980343980344,0.7577577577577578,184,1777,1851,0.09382967873533911,0.09041769041769042,0.09209209209209208,477,1484,1558,0.24324324324324326,0.2343980343980344,0.23873873873873877,673,1288,1362,0.3431922488526262,0.3307125307125307,0.33683683683683685,847,1114,1188,0.43192248852626214,0.41621621621621624,0.4239239239239239,172,1789,1863,0.08771035186129526,0.08452088452088452,0.08608608608608609,441,1520,1594,0.22488526262111166,0.2167076167076167,0.22072072072072071,613,1348,1422,0.3125956144824069,0.30122850122850126,0.30680680680680683,779,1182,1256,0.3972463029066803,0.3828009828009828,0.38988988988988993
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene3,800,800,0,4816,1866,1399,467,373,0.7497320471596999,0.7895033860045146,0.7691039032435405,204,1662,1568,0.10932475884244373,0.11512415349887133,0.11214953271028037,449,1417,1323,0.24062165058949625,0.2533860045146727,0.2468389224848818,642,1224,1130,0.3440514469453376,0.3623024830699774,0.35294117647058826,789,1077,983,0.4228295819935691,0.4452595936794582,0.4337548103353491,175,1691,1597,0.09378349410503752,0.09875846501128668,0.09620670698185817,387,1479,1385,0.20739549839228297,0.21839729119638826,0.21275426058273775,554,1312,1218,0.29689174705251875,0.3126410835214447,0.30456294667399675,684,1182,1088,0.3665594855305466,0.3860045146726862,0.3760307861462342
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room1,200,200,0,975,366,275,91,105,0.7513661202185792,0.7236842105263158,0.7372654155495979,28,338,352,0.07650273224043716,0.07368421052631578,0.07506702412868634,81,285,299,0.22131147540983606,0.2131578947368421,0.2171581769436997,130,236,250,0.3551912568306011,0.34210526315789475,0.3485254691689008,158,208,222,0.43169398907103823,0.41578947368421054,0.4235924932975871,21,345,359,0.05737704918032787,0.05526315789473684,0.05630026809651475,66,300,314,0.18032786885245902,0.1736842105263158,0.17694369973190352,105,261,275,0.28688524590163933,0.27631578947368424,0.2815013404825737,127,239,253,0.3469945355191257,0.33421052631578946,0.34048257372654156
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room2,200,199,1,954,376,247,129,90,0.6569148936170213,0.7329376854599406,0.6928471248246845,32,344,305,0.0851063829787234,0.09495548961424333,0.08976157082748948,79,297,258,0.21010638297872342,0.2344213649851632,0.22159887798036465,131,245,206,0.3484042553191489,0.3887240356083086,0.3674614305750351,162,214,175,0.4308510638297872,0.4807121661721068,0.45441795231416543,21,355,316,0.05585106382978723,0.06231454005934718,0.05890603085553997,61,315,276,0.1622340425531915,0.18100890207715134,0.17110799438990182,103,273,234,0.27393617021276595,0.3056379821958457,0.28892005610098176,129,247,208,0.34308510638297873,0.3827893175074184,0.36185133239831696
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room3,200,200,0,969,381,264,117,108,0.6929133858267716,0.7096774193548387,0.701195219123506,73,308,299,0.19160104986876642,0.19623655913978494,0.19389110225763614,147,234,225,0.3858267716535433,0.3951612903225806,0.3904382470119521,185,196,187,0.48556430446194226,0.49731182795698925,0.49136786188579024,216,165,156,0.5669291338582677,0.5806451612903226,0.5737051792828686,57,324,315,0.14960629921259844,0.1532258064516129,0.15139442231075695,117,264,255,0.30708661417322836,0.31451612903225806,0.3107569721115538,147,234,225,0.3858267716535433,0.3951612903225806,0.3904382470119521,173,208,199,0.4540682414698163,0.4650537634408602,0.4594953519256308
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene4_room4,200,200,0,964,398,286,112,99,0.7185929648241206,0.7428571428571429,0.7305236270753512,56,342,329,0.1407035175879397,0.14545454545454545,0.14303959131545338,110,288,275,0.27638190954773867,0.2857142857142857,0.28097062579821197,166,232,219,0.41708542713567837,0.43116883116883115,0.4240102171136654,192,206,193,0.4824120603015075,0.4987012987012987,0.4904214559386973,45,353,340,0.11306532663316583,0.11688311688311688,0.11494252873563218,89,309,296,0.2236180904522613,0.23116883116883116,0.227330779054917,136,262,249,0.3417085427135678,0.35324675324675325,0.34738186462324394,158,240,227,0.3969849246231156,0.4103896103896104,0.4035759897828864
experiment2,Qwen3-VL-30B-A3B-Instruct,full,scene:scene5,800,799,1,4853,1696,1246,450,425,0.7346698113207547,0.7456612806702573,0.7401247401247402,73,1623,1598,0.04304245283018868,0.043686415320167565,0.04336204336204336,311,1385,1360,0.18337264150943397,0.18611609814482347,0.18473418473418476,493,1203,1178,0.29068396226415094,0.2950329144225015,0.2928422928422928,620,1076,1051,0.36556603773584906,0.3710353081986834,0.3682803682803683,61,1635,1610,0.03596698113207547,0.036505086774386596,0.036234036234036225,237,1459,1434,0.13974056603773585,0.14183123877917414,0.14077814077814077,375,1321,1296,0.22110849056603774,0.2244165170556553,0.22275022275022277,483,1213,1188,0.2847877358490566,0.289048473967684,0.28690228690228686
experiment2,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,overall,4000,4000,0,8519,8833,6017,2816,2502,0.6811955168119551,0.7063035567554877,0.6935223605348086,406,8427,8113,0.04596399864145817,0.047658175842235,0.046795758414015676,1171,7662,7348,0.1325710404166195,0.13745744805728372,0.13497003227293683,1859,6974,6660,0.21046077210460773,0.2182181007160465,0.2142692485016137,2467,6366,6052,0.27929355824748103,0.28958797980983686,0.2843476256339327,246,8587,8273,0.027850107551228347,0.028876628712290176,0.028354080221300135,740,8093,7779,0.08377674629231292,0.08686465547599484,0.08529276164130936,1200,7633,7319,0.13585418317672365,0.1408616034745862,0.13831258644536654,1625,7208,6894,0.1839692063851466,0.19075008803850216,0.18729829414476717
experiment2,Qwen3-VL-30B-A3B-Instruct,no_hand_strict,scene:scene1,800,800,0,1567,1655,1059,596,508,0.6398791540785499,0.6758136566687939,0.6573556797020484,68,1587,1499,0.04108761329305136,0.04339502233567326,0.04220980757293606,183,1472,1384,0.11057401812688822,0.11678366305041481,0.11359404096834264,314,1341,1253,0.18972809667673715,0.200382897255903,0.19490999379267535,418,1237,1149,0.2525679758308157,0.2667517549457562,0.25946617008069517,33,1622,1534,0.019939577039274924,0.021059349074664963,0.020484171322160148,91,1564,1476,0.05498489425981873,0.05807275047862157,0.05648665425201738,171,1484,1396,0.10332326283987915,0.10912571793235482,0.10614525139664804,245,1410,1322,0.14803625377643503,0.15634971282705806,0.15207945375543142
