scene,row_index,unified_id,panel_id,status,mask_fraction,nearest_sample_time,target_sample_time,masked_file_exists,model_input_uses_masked_path,mask_version
scene1,0,scene1::0,P1,masked,0.12697374,1.251331,1.251,True,True,hand_mask_v1
scene1,0,scene1::0,P2,masked,0.12507704,2.246438,2.246,True,True,hand_mask_v1
scene1,0,scene1::0,P3,masked,0.52142551,3.282216,3.282,True,True,hand_mask_v1
scene1,1,scene1::1,P1,masked,0.14066298,0.688281,0.688,True,True,hand_mask_v1
scene1,1,scene1::1,P2,masked,0.13254666,1.592293,1.592,True,True,hand_mask_v1
scene1,1,scene1::1,P3,masked,0.14065267,2.598440,2.598,True,True,hand_mask_v1
scene1,2,scene1::2,P1,masked,0.17006321,1.651189,1.651,True,True,hand_mask_v1
scene1,2,scene1::2,P2,masked,0.17994466,2.206588,2.207,True,True,hand_mask_v1
scene1,2,scene1::2,P3,masked,0.12796875,3.187587,3.188,True,True,hand_mask_v1
scene1,3,scene1::3,P1,masked,0.18435547,1.295943,1.296,True,True,hand_mask_v1
scene1,3,scene1::3,P2,masked,0.18517632,1.855128,1.855,True,True,hand_mask_v1
scene1,3,scene1::3,P3,masked,0.18910238,3.248827,3.249,True,True,hand_mask_v1
scene1,4,scene1::4,P1,masked,0.17779541,1.855223,1.855,True,True,hand_mask_v1
scene1,4,scene1::4,P2,masked,0.1743316,2.688239,2.688,True,True,hand_mask_v1
scene1,4,scene1::4,P3,masked,0.17520237,3.257998,3.258,True,True,hand_mask_v1
scene1,5,scene1::5,P1,masked,0.1745676,0.834850,0.835,True,True,hand_mask_v1
scene1,5,scene1::5,P2,masked,0.17129503,2.286970,2.287,True,True,hand_mask_v1
scene1,5,scene1::5,P3,masked,0.17231934,2.842601,2.843,True,True,hand_mask_v1
scene1,6,scene1::6,P1,masked,0.15439616,1.677644,1.678,True,True,hand_mask_v1
scene1,6,scene1::6,P2,masked,0.16036838,2.370348,2.370,True,True,hand_mask_v1
scene1,6,scene1::6,P3,masked,0.49556478,3.180450,3.180,True,True,hand_mask_v1
scene1,7,scene1::7,P1,masked,0.17425076,1.145508,1.146,True,True,hand_mask_v1
