object_name	location_x	location_y	location_z
helicopter1	8.69	-5.76	44.16
helicopter2	16.84	-4.63	26.49
person1	-45.12	-6.95	37.04
person2	-43.79	-6.71	47.42
person3	31.54	-6.95	22.96
cargo1	-2.8	-5.2	54.5
cargo2	31.5	-7.75	32.96
truck1	-36.16	-9.08	50.4
truck2	-16.2	-9.08	42.7
forklift1	-28.3	-9.69	27.6
forklift2	-16.27	-9.69	25
building1	-56.33	-7.77	32.69
building2	-48.85	-8.51	56.19
building3	-29.98	-8.51	92.31
building4	-21.44	-8.25	88.53
building5	22.13	-8.68	81.33
building6	2.61	-7.84	83.67
building7	36.11	-8.68	63.55
building8	47.72	-9.45	62.18
building9	75.48	-8.54	29.35
building10	40.955	-9.772	121.33
platform1	-6.43	-6.84	53.24
