object_name	x_world	y_world	z_world
truck1	-11.21	-4.713	18.161
van1	-5.21	-4.713	16.07
car1	11.44	-6.4	15
car2	5.7	6.4	7.7
car3	0.2	-6.5	18
car4	-3	-6.6	19
car5	-16.2	-6.6	20.7
person1	1.92	-6.3	15.16
person2	-4.9	-6.5	12.26
person3	-1.4	-6.2	32.8
drone1	4.46	-3.63	12.36
drone2	-0.8	-3.7	13.15
drone3	-10.3	-1.13	13.7
runway1	-5.36	-6.2	30
spotA	22.76	-6.346	16.7
spotB	18	-6	1.98
spotC	-3.87	-6.686	8.45
spotD	4.69	-5.85	35.57
spotE	29	-5.75	33.93
building1	33.32	-3.43	51.04
building2	4.3	-4.6	52.86
building3	-37.9	-5.907	63.58
