object_name	x_world	y_world	z_world	aliases
cabinet	2.18	0.61	-1.84	
shelf	2.28	1.49	-4.76	
cushion	5.82	0.62	-4.1	
chair	5.54	0.629	-3.23	chairs
vase	1.92	0.9	-1.7	
sofa	5.82	0.36	-4.65	
book	2.28	1.48	-5.22	books
dining_table	5.31	0.75	-2.87	dining table, table
person	3.15	0.9	-1.1	
desk	4.71	0.36	-4.65	
lamp	6.37	1.29	-3.16	
rug	3.03	0	-2.46	
stove	2.554	0.99	-3.92	
window	6.61	1.34	-3.21	
wall_picture1	1.78	1.61	-1.72	wall picture
wall_picture2	6.32	1.79	-2	wall picture2
room1	1.448	1.229	-2.661	
room2	2.132	1.29	-1.04	
room3	3.298	1.29	-0.47	
