experiment,model,scene,anchor_f1,anchor_fn,anchor_fp,anchor_precision,anchor_recall,anchor_tp,exact,fn,fp,hit_all,hit_mapped,invalid,joint100_f1,joint100_fn,joint100_fp,joint100_precision,joint100_recall,joint100_tp,joint150_f1,joint150_fn,joint150_fp,joint150_precision,joint150_recall,joint150_tp,joint200_f1,joint200_fn,joint200_fp,joint200_precision,joint200_recall,joint200_tp,joint50_f1,joint50_fn,joint50_fp,joint50_precision,joint50_recall,joint50_tp,macro_set_f1,mapped,margin_f1_0.5,margin_f1_1.0,margin_f1_2.0,margin_fn_0.5,margin_fn_1.0,margin_fn_2.0,margin_fp_0.5,margin_fp_1.0,margin_fp_2.0,margin_precision_0.5,margin_precision_1.0,margin_precision_2.0,margin_recall_0.5,margin_recall_1.0,margin_recall_2.0,margin_tp_0.5,margin_tp_1.0,margin_tp_2.0,mean_scene_normalized_error,micro_f1,micro_precision,micro_recall,missing,n,parse_failures,point100_f1,point100_fn,point100_fp,point100_precision,point100_recall,point100_tp,point150_f1,point150_fn,point150_fp,point150_precision,point150_recall,point150_tp,point200_f1,point200_fn,point200_fp,point200_precision,point200_recall,point200_tp,point50_f1,point50_fn,point50_fp,point50_precision,point50_recall,point50_tp,temporal_f1,temporal_fn,temporal_fp,temporal_precision,temporal_recall,temporal_tp,tp,unmapped,valid
experiment1,Qwen3-VL-30B-A3B,scene1,,,,,,,0.355,790,513,0.76875,0.76875,3,,,,,,,,,,,,,,,,,,,,,,,,,0.5838226911976906,800,,,,,,,,,,,,,,,,,,,,0.5718041406506738,0.6290672451193059,0.5240963855421686,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,0,797
experiment1,Qwen3-VL-30B-A3B,scene2,,,,,,,0.1025,1535,1009,0.55,0.55,13,,,,,,,,,,,,,,,,,,,,,,,,,0.3075317460317468,800,,,,,,,,,,,,,,,,,,,,0.30033003300330036,0.35112540192926045,0.2623738587217684,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,0,787
experiment1,Qwen3-VL-30B-A3B,scene3,,,,,,,0.25125,1024,654,0.77375,0.77375,5,,,,,,,,,,,,,,,,,,,,,,,,,0.5209811507936499,800,,,,,,,,,,,,,,,,,,,,0.5008923259964306,0.5628342245989305,0.4512325830653805,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0,795
experiment1,Qwen3-VL-30B-A3B,scene4_room1,,,,,,,0.625,39,63,0.96,0.96,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8627857142857148,200,,,,,,,,,,,,,,,,,,,,0.8774038461538461,0.852803738317757,0.9034653465346535,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,0,199
experiment1,Qwen3-VL-30B-A3B,scene4_room2,,,,,,,0.87,26,17,0.99,0.99,2,,,,,,,,,,,,,,,,,,,,,,,,,0.9482619047619049,200,,,,,,,,,,,,,,,,,,,,0.9425901201602137,0.9540540540540541,0.9313984168865436,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,0,198
experiment1,Qwen3-VL-30B-A3B,scene4_room3,,,,,,,0.76,46,13,0.98,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,0.9120000000000004,200,,,,,,,,,,,,,,,,,,,,0.9190672153635115,0.9626436781609196,0.8792650918635171,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,0,199
experiment1,Qwen3-VL-30B-A3B,scene4_room4,,,,,,,0.67,67,51,0.98,0.98,1,,,,,,,,,,,,,,,,,,,,,,,,,0.8699841269841276,200,,,,,,,,,,,,,,,,,,,,0.8487179487179487,0.8664921465968587,0.8316582914572864,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,0,199
experiment1,Qwen3-VL-30B-A3B,scene5,,,,,,,0.20375,758,1211,0.82875,0.82875,4,,,,,,,,,,,,,,,,,,,,,,,,,0.5178964646464653,800,,,,,,,,,,,,,,,,,,,,0.48923476005188066,0.43779015784586817,0.5543797766019988,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,0,796
experiment1,Qwen3-VL-8B,scene1,,,,,,,0.27125,1015,469,0.65875,0.65875,40,,,,,,,,,,,,,,,,,,,,,,,,,0.48102281746031655,800,,,,,,,,,,,,,,,,,,,,0.4650324441240087,0.5789946140035906,0.3885542168674699,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,0,760
experiment1,Qwen3-VL-8B,scene2,,,,,,,0.10875,1558,818,0.5275,0.5275,27,,,,,,,,,,,,,,,,,,,,,,,,,0.3115836940836949,800,,,,,,,,,,,,,,,,,,,,0.30566919929865577,0.3900074571215511,0.2513214800576646,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,0,773
