unified_id,scene,row_index,raw_referents,mapped_referents,matched_location_region_anchors,is_location_region_interaction
scene1::0,scene1,0,Fork2,forklift2,,False
scene1::1,scene1,1,Direct2,truck2,,False
scene1::2,scene1,2,Cargo1,cargo1,,False
scene1::3,scene1,3,cargo1,cargo1,,False
scene1::4,scene1,4,Building7,building7,building7,True
scene1::5,scene1,5,cargo1,cargo1,,False
scene1::6,scene1,6,cargo1,cargo1,,False
scene1::7,scene1,7,cargo1,cargo1,,False
scene1::8,scene1,8,cargo1,cargo1,,False
scene1::9,scene1,9,Cargo1,cargo1,,False
scene1::10,scene1,10,Cargo2,cargo2,,False
scene1::11,scene1,11,cargo2,cargo2,,False
scene1::12,scene1,12,Fork1,forklift1,,False
scene1::13,scene1,13,Cargo2,cargo2,,False
scene1::14,scene1,14,cargo1,cargo1,,False
scene1::15,scene1,15,cargo1,cargo1,,False
scene1::16,scene1,16,cargo1,cargo1,,False
scene1::17,scene1,17,Helicopter1,helicopter1,,False
scene1::18,scene1,18,Direct2,truck2,,False
scene1::19,scene1,19,cargo2,cargo2,,False
scene1::20,scene1,20,cargo2,cargo2,,False
scene1::21,scene1,21,Person3,person3,,False
scene1::22,scene1,22,Cargo2,cargo2,,False
scene1::23,scene1,23,Building7,building7,building7,True
scene1::24,scene1,24,Platform1,platform1,,False
scene1::25,scene1,25,Cargo1,cargo1,,False
scene1::26,scene1,26,Building1,building1,building1,True
scene1::27,scene1,27,Fork2,forklift2,,False
scene1::28,scene1,28,cargo2,cargo2,,False
scene1::29,scene1,29,Cargo1,cargo1,,False
scene1::30,scene1,30,Platform1,platform1,,False
scene1::31,scene1,31,Building1,building1,building1,True
scene1::32,scene1,32,cargo1,cargo1,,False
scene1::33,scene1,33,Cargo1,cargo1,,False
scene1::34,scene1,34,Cargo1,cargo1,,False
scene1::35,scene1,35,cargo1,cargo1,,False
scene1::36,scene1,36,Building3,building3,building3,True
scene1::37,scene1,37,Building1,building1,building1,True
scene1::38,scene1,38,cargo2,cargo2,,False
scene1::39,scene1,39,cargo2,cargo2,,False
scene1::40,scene1,40,Building9,building9,building9,True
scene1::41,scene1,41,cargo2,cargo2,,False
scene1::42,scene1,42,cargo2,cargo2,,False
scene1::43,scene1,43,Person3,person3,,False
scene1::44,scene1,44,Cargo2,cargo2,,False
scene1::45,scene1,45,Person1,person1,,False
scene1::46,scene1,46,Fork1,forklift1,,False
scene1::47,scene1,47,Person3,person3,,False
scene1::48,scene1,48,Fork2,forklift2,,False
scene1::49,scene1,49,cargo2,cargo2,,False
scene1::50,scene1,50,Helicopter2,helicopter2,,False
scene1::51,scene1,51,cargo1,cargo1,,False
scene1::52,scene1,52,Cargo2,cargo2,,False
scene1::53,scene1,53,Cargo2,cargo2,,False
scene1::54,scene1,54,Cargo1,cargo1,,False
scene1::55,scene1,55,Building1,building1,building1,True
scene1::56,scene1,56,Building6,building6,building6,True
scene1::57,scene1,57,Building9,building9,building9,True
scene1::58,scene1,58,Building9,building9,building9,True
scene1::59,scene1,59,Cargo1,cargo1,,False
scene1::60,scene1,60,Cargo1,cargo1,,False
scene1::61,scene1,61,Cargo1,cargo1,,False
scene1::62,scene1,62,cargo1,cargo1,,False
scene1::63,scene1,63,cargo2,cargo2,,False
scene1::64,scene1,64,Cargo1,cargo1,,False
scene1::65,scene1,65,cargo1,cargo1,,False
scene1::66,scene1,66,Helicopter1,helicopter1,,False
scene1::67,scene1,67,Direct2,truck2,,False
scene1::68,scene1,68,cargo2,cargo2,,False
scene1::69,scene1,69,Building4,building4,building4,True
scene1::70,scene1,70,Cargo1,cargo1,,False
scene1::71,scene1,71,cargo2,cargo2,,False
scene1::72,scene1,72,Cargo2,cargo2,,False
scene1::73,scene1,73,Building7,building7,building7,True
scene1::74,scene1,74,cargo2,cargo2,,False
scene1::75,scene1,75,Building4,building4,building4,True
scene1::76,scene1,76,cargo2,cargo2,,False
scene1::77,scene1,77,Cargo1,cargo1,,False
scene1::78,scene1,78,Direct2,truck2,,False
scene1::79,scene1,79,cargo1,cargo1,,False
scene1::80,scene1,80,Building3,building3,building3,True
scene1::81,scene1,81,Cargo2,cargo2,,False
scene1::82,scene1,82,Person1,person1,,False
scene1::83,scene1,83,Person2,person2,,False
scene1::84,scene1,84,cargo1,cargo1,,False
scene1::85,scene1,85,Platform1,platform1,,False
scene1::86,scene1,86,cargo1,cargo1,,False
scene1::87,scene1,87,Cargo2,cargo2,,False
scene1::88,scene1,88,Building4,building4,building4,True
scene1::89,scene1,89,Person2,person2,,False
scene1::90,scene1,90,Cargo1,cargo1,,False
scene1::91,scene1,91,cargo1,cargo1,,False
scene1::92,scene1,92,Building7,building7,building7,True
scene1::93,scene1,93,Helicopter2,helicopter2,,False
scene1::94,scene1,94,Building3,building3,building3,True
scene1::95,scene1,95,Helicopter2,helicopter2,,False
scene1::96,scene1,96,cargo2,cargo2,,False
scene1::97,scene1,97,Cargo1,cargo1,,False
scene1::98,scene1,98,Building3,building3,building3,True
scene1::99,scene1,99,Building4,building4,building4,True
scene1::100,scene1,100,Cargo2,cargo2,,False
scene1::101,scene1,101,Person3,person3,,False
scene1::102,scene1,102,Cargo2,cargo2,,False
scene1::103,scene1,103,Building5,building5,building5,True
scene1::104,scene1,104,Cargo2,cargo2,,False
scene1::105,scene1,105,cargo2,cargo2,,False
scene1::106,scene1,106,Building9,building9,building9,True
scene1::107,scene1,107,Building2,building2,building2,True
scene1::108,scene1,108,cargo2,cargo2,,False
scene1::109,scene1,109,Cargo1,cargo1,,False
scene1::110,scene1,110,cargo1,cargo1,,False
scene1::111,scene1,111,Cargo2,cargo2,,False
scene1::112,scene1,112,Cargo2,cargo2,,False
scene1::113,scene1,113,Building7,building7,building7,True
scene1::114,scene1,114,cargo2,cargo2,,False
scene1::115,scene1,115,Building1,building1,building1,True
scene1::116,scene1,116,Cargo1,cargo1,,False
scene1::117,scene1,117,Cargo2,cargo2,,False
scene1::118,scene1,118,cargo2,cargo2,,False
scene1::119,scene1,119,cargo1,cargo1,,False
scene1::120,scene1,120,cargo1,cargo1,,False
scene1::121,scene1,121,Cargo2,cargo2,,False
scene1::122,scene1,122,Building10,building10,building10,True
scene1::123,scene1,123,Cargo1,cargo1,,False
scene1::124,scene1,124,Cargo1,cargo1,,False
scene1::125,scene1,125,cargo2,cargo2,,False
scene1::126,scene1,126,Helicopter2,helicopter2,,False
scene1::127,scene1,127,cargo1,cargo1,,False
scene1::128,scene1,128,Cargo1,cargo1,,False
scene1::129,scene1,129,Cargo1,cargo1,,False
scene1::130,scene1,130,Cargo2,cargo2,,False
scene1::131,scene1,131,cargo1,cargo1,,False
scene1::132,scene1,132,Cargo1,cargo1,,False
scene1::133,scene1,133,cargo2,cargo2,,False
scene1::134,scene1,134,Cargo1,cargo1,,False
scene1::135,scene1,135,Cargo1,cargo1,,False
scene1::136,scene1,136,cargo1,cargo1,,False
scene1::137,scene1,137,cargo2,cargo2,,False
scene1::138,scene1,138,Building1,building1,building1,True
scene1::139,scene1,139,Building6,building6,building6,True
scene1::140,scene1,140,Building8,building8,building8,True
scene1::141,scene1,141,Cargo2,cargo2,,False
scene1::142,scene1,142,Helicopter2,helicopter2,,False
scene1::143,scene1,143,cargo1,cargo1,,False
scene1::144,scene1,144,cargo2,cargo2,,False
scene1::145,scene1,145,Direct1,truck1,,False
scene1::146,scene1,146,cargo1,cargo1,,False
scene1::147,scene1,147,Direct1,truck1,,False
scene1::148,scene1,148,cargo2,cargo2,,False
scene1::149,scene1,149,Building2,building2,building2,True
scene1::150,scene1,150,cargo2,cargo2,,False
scene1::151,scene1,151,Direct1,truck1,,False
scene1::152,scene1,152,Cargo2,cargo2,,False
scene1::153,scene1,153,cargo1,cargo1,,False
scene1::154,scene1,154,Person1,person1,,False
scene1::155,scene1,155,Building2,building2,building2,True
scene1::156,scene1,156,Fork2,forklift2,,False
scene1::157,scene1,157,Person1,person1,,False
scene1::158,scene1,158,Fork2,forklift2,,False
scene1::159,scene1,159,Cargo2,cargo2,,False
scene1::160,scene1,160,Direct2,truck2,,False
scene1::161,scene1,161,cargo1,cargo1,,False
scene1::162,scene1,162,Helicopter2,helicopter2,,False
scene1::163,scene1,163,Building8,building8,building8,True
scene1::164,scene1,164,Person1,person1,,False
scene1::165,scene1,165,cargo2,cargo2,,False
scene1::166,scene1,166,cargo1,cargo1,,False
scene1::167,scene1,167,Cargo2,cargo2,,False
scene1::168,scene1,168,cargo1,cargo1,,False
scene1::169,scene1,169,Building7,building7,building7,True
scene1::170,scene1,170,cargo1,cargo1,,False
scene1::171,scene1,171,Person2,person2,,False
scene1::172,scene1,172,cargo1,cargo1,,False
scene1::173,scene1,173,Building7,building7,building7,True
scene1::174,scene1,174,Cargo2,cargo2,,False
scene1::175,scene1,175,Helicopter2,helicopter2,,False
scene1::176,scene1,176,Building8,building8,building8,True
scene1::177,scene1,177,cargo1,cargo1,,False
scene1::178,scene1,178,Cargo1,cargo1,,False
scene1::179,scene1,179,Cargo1,cargo1,,False
scene1::180,scene1,180,Cargo1,cargo1,,False
scene1::181,scene1,181,cargo2,cargo2,,False
scene1::182,scene1,182,Cargo1,cargo1,,False
scene1::183,scene1,183,Cargo1,cargo1,,False
scene1::184,scene1,184,Cargo2,cargo2,,False
scene1::185,scene1,185,Building8,building8,building8,True
