scene,row_index,event_id,referent_name,panel_id,gt_x,gt_y,projection_valid,status
scene1,0,scene1_1,forklift2,P1,864.15,950.93,True,point_evaluable
scene1,0,scene1_1,forklift2,P2,843.83,970.37,True,point_evaluable
scene1,0,scene1_1,forklift2,P3,778.11,982.16,True,point_evaluable
scene1,1,scene1_2,truck2,P1,674.74,854.44,True,point_evaluable
scene1,1,scene1_2,truck2,P2,838.33,858.93,True,point_evaluable
scene1,1,scene1_2,truck2,P3,828.40,901.69,True,point_evaluable
scene1,2,scene1_3,cargo1,P1,1257.67,866.38,True,point_evaluable
scene1,2,scene1_3,cargo1,P2,1262.07,884.84,True,point_evaluable
scene1,2,scene1_3,cargo1,P3,1141.68,969.67,True,point_evaluable
scene1,3,scene1_4,cargo1,P1,910.90,828.46,True,point_evaluable
scene1,3,scene1_4,cargo1,P2,926.04,834.13,True,point_evaluable
scene1,3,scene1_4,cargo1,P3,932.68,847.05,True,point_evaluable
scene1,4,scene1_5,building7,P1,1087.22,846.82,True,point_evaluable
scene1,4,scene1_5,building7,P2,1101.65,870.52,True,point_evaluable
scene1,4,scene1_5,building7,P3,1109.01,878.34,True,point_evaluable
scene1,5,scene1_6,cargo1,P1,916.13,796.33,True,point_evaluable
scene1,5,scene1_6,cargo1,P2,928.75,862.80,True,point_evaluable
scene1,5,scene1_6,cargo1,P3,924.70,862.24,True,point_evaluable
scene1,6,scene1_7,cargo1,P1,924.71,829.66,True,point_evaluable
scene1,6,scene1_7,cargo1,P2,929.72,830.80,True,point_evaluable
scene1,6,scene1_7,cargo1,P3,959.24,827.63,True,point_evaluable
scene1,7,scene1_8,cargo1,P1,921.97,835.21,True,point_evaluable
scene1,7,scene1_8,cargo1,P2,925.43,846.44,True,point_evaluable
scene1,7,scene1_8,cargo1,P3,924.28,860.13,True,point_evaluable
scene1,8,scene1_9,cargo1,P1,921.71,840.96,True,point_evaluable
scene1,8,scene1_9,cargo1,P2,927.11,859.37,True,point_evaluable
scene1,8,scene1_9,cargo1,P3,935.85,875.22,True,point_evaluable
scene1,9,scene1_10,cargo1,P1,1251.94,837.68,True,point_evaluable
scene1,9,scene1_10,cargo1,P2,1258.20,889.43,True,point_evaluable
scene1,9,scene1_10,cargo1,P3,1190.97,948.67,True,point_evaluable
scene1,10,scene1_11,cargo2,P1,,,False,projection_invalid
scene1,10,scene1_11,cargo2,P2,,,False,projection_invalid
scene1,10,scene1_11,cargo2,P3,,,False,projection_invalid
scene1,11,scene1_12,cargo2,P1,1080.50,898.37,True,point_evaluable
scene1,11,scene1_12,cargo2,P2,1105.17,916.40,True,point_evaluable
scene1,11,scene1_12,cargo2,P3,1715.14,883.62,True,point_evaluable
scene1,12,scene1_13,forklift1,P1,805.39,975.19,True,point_evaluable
scene1,12,scene1_13,forklift1,P2,805.31,974.01,True,point_evaluable
scene1,12,scene1_13,forklift1,P3,596.99,1117.88,True,point_evaluable
scene1,13,scene1_14,cargo2,P1,,,False,projection_invalid
scene1,13,scene1_14,cargo2,P2,,,False,projection_invalid
scene1,13,scene1_14,cargo2,P3,,,False,projection_invalid
scene1,14,scene1_15,cargo1,P1,914.16,802.42,True,point_evaluable
scene1,14,scene1_15,cargo1,P2,919.35,831.38,True,point_evaluable
scene1,14,scene1_15,cargo1,P3,915.69,838.32,True,point_evaluable
scene1,15,scene1_16,cargo1,P1,903.07,766.24,True,point_evaluable
scene1,15,scene1_16,cargo1,P2,915.75,826.19,True,point_evaluable
