scene,row_index,event_id,gt_anchor_ids,gt_points_json,gt_count,gt_mapping_status,gt_mapping_detail
scene1,0,scene1_1,forklift2,"[{""id"":""forklift2"",""point"":[-16.27,-9.69,25.0]}]",1,valid,
scene1,1,scene1_2,truck2,"[{""id"":""truck2"",""point"":[-16.2,-9.08,42.7]}]",1,valid,
scene1,2,scene1_3,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,3,scene1_4,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,4,scene1_5,building7,"[{""id"":""building7"",""point"":[36.11,-8.68,63.55]}]",1,valid,
scene1,5,scene1_6,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,6,scene1_7,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,7,scene1_8,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,8,scene1_9,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,9,scene1_10,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,10,scene1_11,cargo2,"[{""id"":""cargo2"",""point"":[31.5,-7.75,32.96]}]",1,valid,
scene1,11,scene1_12,cargo2,"[{""id"":""cargo2"",""point"":[31.5,-7.75,32.96]}]",1,valid,
scene1,12,scene1_13,forklift1,"[{""id"":""forklift1"",""point"":[-28.3,-9.69,27.6]}]",1,valid,
scene1,13,scene1_14,cargo2,"[{""id"":""cargo2"",""point"":[31.5,-7.75,32.96]}]",1,valid,
scene1,14,scene1_15,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,15,scene1_16,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,16,scene1_17,cargo1,"[{""id"":""cargo1"",""point"":[-2.8,-5.2,54.5]}]",1,valid,
scene1,17,scene1_18,helicopter1,"[{""id"":""helicopter1"",""point"":[8.69,-5.76,44.16]}]",1,valid,
scene1,18,scene1_19,truck2,"[{""id"":""truck2"",""point"":[-16.2,-9.08,42.7]}]",1,valid,
scene1,19,scene1_20,cargo2,"[{""id"":""cargo2"",""point"":[31.5,-7.75,32.96]}]",1,valid,
scene1,20,scene1_21,cargo2,"[{""id"":""cargo2"",""point"":[31.5,-7.75,32.96]}]",1,valid,
scene1,21,scene1_22,person3,"[{""id"":""person3"",""point"":[31.54,-6.95,22.96]}]",1,valid,
scene1,22,scene1_23,cargo2,"[{""id"":""cargo2"",""point"":[31.5,-7.75,32.96]}]",1,valid,
