experiment,model,n,valid,invalid,anchor_f1,anchor_precision,anchor_recall,exact,fn,fp,hit_all,hit_mapped,joint100_f1,joint100_fn,joint100_fp,joint100_precision,joint100_recall,joint100_tp,joint150_f1,joint150_fn,joint150_fp,joint150_precision,joint150_recall,joint150_tp,joint200_f1,joint200_fn,joint200_fp,joint200_precision,joint200_recall,joint200_tp,joint50_f1,joint50_fn,joint50_fp,joint50_precision,joint50_recall,joint50_tp,macro_set_f1,mapped_count,margin_f1_0.5,margin_f1_1.0,margin_f1_2.0,mean_scene_normalized_error,micro_f1,micro_precision,micro_recall,missing,multi_count,parse_failures,point100_f1,point100_fn,point100_fp,point100_precision,point100_recall,point100_tp,point150_f1,point150_fn,point150_fp,point150_precision,point150_recall,point150_tp,point200_f1,point200_fn,point200_fp,point200_precision,point200_recall,point200_tp,point50_f1,point50_fn,point50_fp,point50_precision,point50_recall,point50_tp,single_count,temporal_f1,temporal_fn,temporal_fp,temporal_precision,temporal_recall,temporal_tp,tp,unmapped_count
experiment1,Qwen3-VL-30B-A3B,4000,3970,30,,,,0.32875,4285,3531,0.77975,0.77975,,,,,,,,,,,,,,,,,,,,,,,,,0.5656979978355006,4000,,,,,0.5398563522901212,0.564933464760966,0.5169109357384442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4585,0
experiment1,Qwen3-VL-8B,4000,3872,128,,,,0.23775,5369,2595,0.67325,0.67325,,,,,,,,,,,,,,,,,,,,,,,,,0.48043427128427757,4000,,,,,0.4678604837631966,0.5743110236220472,0.3947012401352875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3501,0
experiment1,InternVL3-38B,4000,3982,18,,,,0.25925,4897,3396,0.7215,0.7215,,,,,,,,,,,,,,,,,,,,,,,,,0.5104822774447821,4000,,,,,0.48931584457171007,0.539150495318225,0.4479143179255919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973,0
experiment2,Qwen3-VL-30B-A3B,4000,3998,2,,,,,,,,,0.20669222725688394,6740,6916,0.20460034502587693,0.20882732715107408,1779,0.29615429301731144,5970,6146,0.29315698677400803,0.29921352271393353,2549,0.3673753921226908,5357,5533,0.36365727429557215,0.37117032515553466,3162,0.08191007319623562,7814,7990,0.08108108108108109,0.0827561920413194,705,,,,,,,,,,0,,2,0.24968049262228417,6370,6546,0.24715353651523864,0.2522596548890715,2149,0.35773207854072275,5440,5616,0.3541115583668775,0.3614273975818758,3079,0.43987452073893346,4733,4909,0.43542265669925245,0.4444183589623195,3786,0.0980597188335076,7675,7851,0.09706728004600346,0.09907266111045897,844,,0.7347507842453816,2195,2371,0.7273145485911443,0.7423406503110693,6324,,
experiment2,Qwen3-VL-8B,4000,4000,0,,,,,,,,,0.20125786163522014,6807,6782,0.20155403814457265,0.20096255429040968,1712,0.2980074061012167,5984,5959,0.2984459618554274,0.2975701373400634,2535,0.3668959031328984,5398,5373,0.36743583706145516,0.3663575537034863,3121,0.0792335273026509,7845,7820,0.07935012950317871,0.07911726728489259,674,,,,,,,,,,0,,0,0.23499676717804033,6520,6495,0.2353425947727808,0.2346519544547482,1999,0.34385469934755775,5594,5569,0.3443607252178008,0.3433501584693039,2925,0.423440898136719,4917,4892,0.42406404520838237,0.422819579762883,3602,0.09334038676306354,7725,7700,0.09347774899929362,0.09320342763235122,794,,0.7461353082936578,2172,2147,0.7472333411820108,0.7450404977109989,6347,,
experiment2,InternVL3-38B,4000,4000,0,,,,,,,,,0.09766874018952389,7679,7842,0.0967519004837595,0.09860312243221035,840,0.18254752630661011,6949,7112,0.1808339092375029,0.18429393121258364,1570,0.27010057554793326,6196,6359,0.26756507717115874,0.2726845873928865,2323,0.028486715888611125,8274,8437,0.028219304307763187,0.02875924404272802,245,,,,,,,,,,0,,0,0.12278355909540142,7463,7626,0.1216309606081548,0.12395821105763587,1056,0.22754491017964074,6562,6725,0.2254088919603778,0.2297217983331377,1957,0.33265507819312834,5658,5821,0.3295323658143285,0.335837539617326,2861,0.03627696064182315,8207,8370,0.0359364201796821,0.03662401690339242,312,,0.7329806406604267,2215,2378,0.7260999769638332,0.7399929569198263,6304,,
experiment3,Qwen3-VL-30B-A3B,4000,4000,0,0.4326182160873663,0.42556440178863564,0.4399098083427283,0.0185,4968,5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11340988416207193,0.25029085942637463,0.41054175729677783,0.15690768904914107,,,,,3070,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,3902,
experiment3,Qwen3-VL-8B,4000,4000,0,0.42134671303951193,0.4262313992386665,0.4165727170236753,0.0225,5175,4974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11220984698657228,0.2439887581971479,0.40043718122202554,0.1550435134685088,,,,,3070,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,3695,
experiment3,InternVL3-38B,4000,4000,0,0.3930707108069786,0.433682492177935,0.3594137542277339,0.048,5682,4163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10058395900369443,0.23096174472649267,0.39089500655464193,0.1614727374210885,,,,,3070,,,,,,,,,,,,,,,,,,,,,,,,,,930,,,,,,,3188,
experiment3_baseline,gaze_copy,4000,4000,0,0.4325167037861915,0.42728272827282726,0.437880496054115,0.0435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1156099602427286,0.2546557857292321,0.4193345888261143,0.15187619263041682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
