experiment,model,metric,before_commit,before,after,delta
experiment1,Qwen3-VL-30B-A3B,hit_all,c21c5ea,0.766,0.77975,0.01375000000000004
experiment1,Qwen3-VL-30B-A3B,exact,c21c5ea,0.3204934541792548,0.32875,0.008256545820745198
experiment1,Qwen3-VL-30B-A3B,micro_f1,c21c5ea,0.5325880114176974,0.5398563522901212,0.007268340872423784
experiment1,Qwen3-VL-8B,hit_all,c21c5ea,0.6625,0.67325,0.010750000000000037
experiment1,Qwen3-VL-8B,exact,c21c5ea,0.23288016112789528,0.23775,0.004869838872104709
experiment1,Qwen3-VL-8B,micro_f1,c21c5ea,0.46228710462287104,0.4678604837631966,0.005573379140325574
experiment1,InternVL3-38B,hit_all,c21c5ea,0.70925,0.7215,0.012249999999999983
experiment1,InternVL3-38B,exact,c21c5ea,0.25327291037260824,0.25925,0.005977089627391741
experiment1,InternVL3-38B,micro_f1,c21c5ea,0.48266849212769936,0.48931584457171007,0.006647352444010712
experiment2,Qwen3-VL-30B-A3B,temporal_f1,c21c5ea,0.7332743884468022,0.7347507842453816,0.0014763957985794995
experiment2,Qwen3-VL-30B-A3B,point100_f1,c21c5ea,0.24697907456528145,0.24968049262228417,0.002701418057002719
experiment2,Qwen3-VL-30B-A3B,joint100_f1,c21c5ea,0.2038314176245211,0.20669222725688394,0.0028608096323628485
experiment2,Qwen3-VL-8B,temporal_f1,c21c5ea,0.7455607198188535,0.7461353082936578,0.000574588474804294
experiment2,Qwen3-VL-8B,point100_f1,c21c5ea,0.23406030270527944,0.23499676717804033,0.000936464472760884
experiment2,Qwen3-VL-8B,joint100_f1,c21c5ea,0.20021451555237754,0.20125786163522014,0.0010433460828425944
experiment2,InternVL3-38B,temporal_f1,c21c5ea,0.7320407802463316,0.7329806406604267,0.0009398604140951061
experiment2,InternVL3-38B,point100_f1,c21c5ea,0.12316577287995757,0.12278355909540142,-0.0003822137845561485
experiment2,InternVL3-38B,joint100_f1,c21c5ea,0.09817903235311451,0.09766874018952389,-0.0005102921635906227
experiment3,Qwen3-VL-30B-A3B,anchor_f1,c21c5ea,0.4257425742574258,0.4326182160873663,0.006875641829940493
experiment3,Qwen3-VL-30B-A3B,exact,c21c5ea,0.01687232435154873,0.0185,0.0016276756484512704
experiment3,Qwen3-VL-30B-A3B,margin_f1_1.0,c21c5ea,0.2492179888210861,0.25029085942637463,0.001072870605288545
experiment3,Qwen3-VL-30B-A3B,mean_scene_normalized_error,c21c5ea,0.15902011855593232,0.15690768904914107,-0.002112429506791247
experiment3,Qwen3-VL-8B,anchor_f1,c21c5ea,0.41471881508909975,0.42134671303951193,0.006627897950412187
experiment3,Qwen3-VL-8B,exact,c21c5ea,0.0221606648199446,0.0225,0.0003393351800554008
experiment3,Qwen3-VL-8B,margin_f1_1.0,c21c5ea,0.24353698427772502,0.2439887581971479,0.0004517739194228876
experiment3,Qwen3-VL-8B,mean_scene_normalized_error,c21c5ea,0.1573124139676185,0.1550435134685088,-0.0022689004991096884
experiment3,InternVL3-38B,anchor_f1,c21c5ea,0.3863252144511928,0.3930707108069786,0.006745496355785807
experiment3,InternVL3-38B,exact,c21c5ea,0.046839587005791994,0.048,0.0011604129942080071
experiment3,InternVL3-38B,margin_f1_1.0,c21c5ea,0.23015488867376574,0.23096174472649267,0.0008068560527269286
experiment3,InternVL3-38B,mean_scene_normalized_error,c21c5ea,0.16417674689657044,0.1614727374210885,-0.002704009475481939
