partition,total_samples,valid_output_count,invalid_output_count,valid_output_rate,anchor_set_precision_micro,anchor_set_recall_micro,anchor_set_f1_micro,anchor_set_exact_rate,mean_cardinality_error,duplicate_nearest_anchor_rate,margin_f1_at_0_5,margin_f1_at_1_0,margin_f1_at_2_0,mean_matched_margin_error,median_matched_margin_error,mean_matched_euclidean_error,median_matched_euclidean_error,mean_scene_normalized_error,median_scene_normalized_error,margin_undefined_gt_count
overall,4000,4000,0,1.0,0.42728272827282726,0.437880496054115,0.4325167037861915,0.0435,0.854,0.11627454792922419,0.1156099602427286,0.2546557857292321,0.4193345888261143,3.6010121126569556,1.9501062831656961,7.6020439523907575,2.9307367560503073,0.15187619263041682,0.07535487709109139,40
single_target,930,930,0,1.0,0.3268523384130321,0.6688172043010753,0.4391104835863043,0.06881720430107527,1.421505376344086,0.1549733570159858,0.10251572327044026,0.2358490566037736,0.3911949685534591,2.640466989830989,1.3258292519083144,4.354116976198059,2.0965436072390764,0.09215730375607552,0.04599616327916213,2
multi_target,3070,3070,0,1.0,0.45387505217754276,0.41083123425692697,0.43128181397501164,0.035830618892508145,0.6820846905537459,0.10542693552402291,0.11822289156626507,0.2584086345381526,0.4249497991967871,3.7299182404924576,2.068097728515005,8.037919040446697,3.06527673584174,0.15987886794066716,0.08135509746393971,38
scene1,800,800,0,1.0,0.43787962451684154,0.47771084337349395,0.4569288389513108,0.0125,1.05125,0.22174473571121617,0.09781790820165538,0.2478053674441936,0.400300978179082,3.5105524641835575,1.9338962191736844,19.090928948021453,8.446152059192512,0.15805701013252768,0.07244607919437238,0
scene2,800,800,0,1.0,0.2751183587585481,0.2513214800576646,0.2626820693119035,0.0075,0.96875,0.04568273092369478,0.01080284802356985,0.04763073901301253,0.16498895163270313,7.479245324221399,4.182277758644924,2.805825666901014,1.6903608949695077,0.20327602635978803,0.1282741199535334,0
scene3,800,800,0,1.0,0.4817773339990015,0.5171489817792069,0.49883690876195397,0.02375,0.89,0.07354301572617947,0.13008937437934456,0.3440913604766634,0.5670307845084408,1.9447832354613437,1.2493270040157851,8.07178110166383,3.5941226063172182,0.11680107887347044,0.0572145798978384,0
scene4_room1,200,200,0,1.0,0.5581395348837209,0.5346534653465347,0.5461441213653603,0.175,0.615,0.03007518796992481,0.18679950186799502,0.4159402241594022,0.6176836861768368,1.7136244993064116,1.0511644374993954,0.9324305075710764,0.47560889507977105,0.13007345560550482,0.06908873334616275,0
scene4_room2,200,200,0,1.0,0.3229166666666667,0.32717678100263853,0.32503276539973786,0.105,0.565,0.025380710659898477,0.02442333785617368,0.10040705563093623,0.2903663500678426,3.278040936676006,2.4780178487603157,3.00716140720199,0.7822220380715729,0.30615262117074177,0.10971653644649758,36
scene4_room3,200,200,0,1.0,0.5914489311163895,0.6535433070866141,0.6209476309226932,0.125,0.69,0.06651884700665188,0.16346153846153846,0.3317307692307693,0.5072115384615384,2.3651636917090824,1.397789161524899,0.951583791043997,0.46904265777743515,0.15076533300938644,0.07389374347032251,0
scene4_room4,200,200,0,1.0,0.42933333333333334,0.4045226130653266,0.41655886157826655,0.105,0.615,0.025974025974025976,0.051347881899871634,0.25930680359435176,0.44672657252888315,3.4201464065488567,1.7260837939031926,1.3063450907378118,0.5323840293987716,0.161929654376611,0.06857043997144559,4
scene5,800,800,0,1.0,0.4717920353982301,0.5014697236919459,0.4861783984041037,0.04625,0.73875,0.16911764705882354,0.23420170234717566,0.3647149858137735,0.5117358782563839,2.21438977631776,1.4777698990611134,5.834867250411804,3.07614369816818,0.10150694244227312,0.052791377016459695,0
